20180305,1,1,6,2,3,2.5,63
20180306,2,1,5,0,2,2.5,52
20180307,3,1,6,0,2,1.5,61
20180308,4,1,5,2,1,2.5,70
20180309,5,1,10,1,1,2.5,79
20180310,6,0,9,1,1,2.5,108
20180311,7,0,12,2,1,1.5,84
20180312,1,1,16,4,1,1.5,147
20180313,2,1,19,6,3,1.5,275
20180314,3,1,21,8,4,1.5,157
20180315,4,1,10,0,2,4.5,106
20180316,5,1,8,1,3,1.5,53
20180317,6,0,6,1,2,1.5,58
20180318,7,0,10,1,1,1.5,107
20180319,1,1,8,1,3,2.5,120
20180320,2,1,8,1,3,2.5,53
20180321,3,1,13,3,2,1.5,66
20180322,4,1,16,4,3,1.5,97
20180323,5,1,20,7,3,1.5,175
20180324,6,0,20,7,1,1.5,189
20180325,7,0,25,12,2,1.5,118
20180326,1,1,26,13,3,2.5,125
20180327,2,1,28,16,3,2.5,117
20180328,3,1,20,9,3,4.5,202
20180329,4,1,18,8,1,4.5,84
20180330,5,1,20,10,3,1.5,69
20180331,6,0,23,12,1,1.5,133
20180401,7,0,26,14,3,1.5,190
20180402,1,1,30,12,3,2.5,158
20180403,2,1,13,5,2,4.5,105
20180404,3,1,9,5,5,2.5,52
20180405,4,3,12,4,1,1.5,66
20180406,5,3,10,2,1,5.5,79
20180407,6,3,12,4,1,4.5,47
20180408,7,0,19,6,1,1.5,60
20180409,1,1,23,12,3,2.5,94
20180410,2,1,25,10,1,5.5,110
20180411,3,1,24,11,1,1.5,56
20180412,4,1,17,9,4,4.5,81
20180413,5,1,14,5,2,2.5,60
20180414,6,0,17,6,1,5.5,73
20180415,7,0,21,10,1,1.5,110
20180416,1,1,25,12,1,2.5,103
20180417,2,1,27,15,1,2.5,122
20180418,3,1,29,17,1,2.5,119
20180419,4,1,25,13,1,2.5,108
20180420,5,1,28,16,4,2.5,121
20180421,6,0,20,12,7,2.5,91
20180422,7,0,15,11,2,4.5,40
20180423,1,1,17,10,1,2.5,56
20180424,2,1,22,11,1,1.5,58
20180425,3,1,25,14,3,1.5,73
20180426,4,1,27,14,3,2.5,121
20180427,5,1,25,13,1,1.5,119
20180428,6,0,29,17,1,1.5,112
20180429,7,4,31,16,6,2.5,85
20180430,1,4,22,14,2,2.5,65
20180501,2,3,22,13,4,2.5,88
20180502,3,1,23,12,3,4.5,62
20180503,4,1,23,14,1,2.5,53
20180504,5,1,29,18,3,2.5,76
20180505,6,0,26,16,2,2.5,86
20180506,7,0,27,15,1,1.5,90
20180507,1,1,25,14,1,2.5,77
20180508,2,1,28,15,1,1.5,68
20180509,3,1,29,18,1,1.5,77
20180510,4,1,29,17,3,1.5,88
20180511,5,1,24,17,4,1.5,94
20180512,6,0,28,17,6,1.5,114
20180513,7,0,31,20,1,2.5,74
20180514,1,1,35,24,3,2.5,99
20180515,2,1,33,19,6,1.5,95
20180516,3,1,28,19,4,1.5,91
20180517,4,1,25,17,2,1.5,66
20180518,5,1,28,19,2,1.5,63
20180519,6,0,27,16,3,1.5,67
20180520,7,0,25,17,3,1.5,56
20180521,1,1,20,16,4,1.5,49
20180522,2,1,24,16,1,4.5,81
20180523,3,1,31,18,1,5.5,167
20180524,4,1,33,20,3,2.5,97
20180525,5,1,33,20,1,1.5,86
20180526,6,0,30,17,6,2.5,100
20180527,7,0,29,18,3,2.5,100
20180528,1,1,31,18,1,4.5,115
20180529,2,1,30,20,3,1.5,70
20180530,3,1,32,20,1,1.5,75
20180531,4,1,35,22,1,1.5,86
20180601,5,1,36,23,1,1.5,89
20180602,6,0,36,24,1,1.5,94
20180603,7,0,33,24,2,2.5,89
20180604,1,1,35,23,1,2.5,76
20180605,2,1,37,25,1,4.5,96
20180606,3,1,37,25,6,2.5,113
20180607,4,1,32,23,3,1.5,80
20180608,5,1,32,21,4,1.5,58
20180609,6,0,22,18,7,1.5,47
20180610,7,0,24,19,3,2.5,51
20180611,1,1,29,21,1,2.5,78
20180612,2,1,31,22,6,2.5,82
20180613,3,1,27,22,2,2.5,64
20180614,4,1,29,21,1,1.5,81
20180615,5,1,29,22,1,2.5,68
20180616,6,3,31,22,3,1.5,83
20180617,7,3,30,21,2,1.5,69
20180618,1,3,32,21,6,1.5,99
20180619,2,1,31,22,1,1.5,80
20180620,3,1,35,23,1,1.5,80
20180621,4,1,35,25,3,1.5,88
20180622,5,1,31,24,6,2.5,120
20180623,6,0,36,25,1,2.5,87
20180624,7,0,36,28,3,2.5,86
20180625,1,1,33,24,6,1.5,86
20180626,2,1,35,26,1,2.5,79
20180627,3,1,37,25,3,1.5,86
20180628,4,1,35,25,3,2.5,51
20180629,5,1,37,27,3,2.5,79
20180630,6,0,35,25,3,2.5,76
20180701,7,0,31,25,3,2.5,71
20180702,1,1,31,24,2,2.5,60
20180703,2,1,32,24,6,2.5,52
20180704,3,1,35,27,1,1.5,69
20180705,4,1,34,25,6,1.5,89
20180706,5,1,33,25,3,2.5,82
20180707,6,0,31,23,6,2.5,51
20180708,7,0,28,23,6,1.5,67
20180709,1,1,30,25,3,1.5,57
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
